week|week_url
11/15/2018|19330
11/8/2018|19278
11/1/2018|19217
10/25/2018|19156
10/18/2018|19105
10/11/2018|19041
10/4/2018|18986
9/27/2018|18919
9/20/2018|18859
9/13/2018|18804
8/30/2018|18668
8/23/2018|18594
8/16/2018|18522
7/26/2018|18312
7/19/2018|18246
7/12/2018|18173
6/28/2018|17995
6/21/2018|17904
6/14/2018|17811
5/31/2018|17650
5/24/2018|17597
5/17/2018|17533
5/10/2018|17486
4/26/2018|17308
4/19/2018|17268
4/12/2018|17221
3/29/2018|17118
3/22/2018|17072
3/15/2018|17017
2/22/2018|16812
2/15/2018|16791
1/25/2018|16580
1/18/2018|16515
1/11/2018|16461
12/28/2017|16349
12/21/2017|16307
12/14/2017|16255
12/7/2017|16208
11/30/2017|16091
11/23/2017|16031
11/16/2017|15971
11/9/2017|15921
11/2/2017|14860
10/26/2017|14813
10/19/2017|14762
10/12/2017|14700
10/5/2017|14458
9/28/2017|14416
9/21/2017|14366
9/14/2017|14304
8/30/2017|14197
8/24/2017|14150
8/17/2017|14106
8/10/2017|14070
7/27/2017|13975
7/20/2017|13938
7/13/2017|13886
6/29/2017|13793
6/22/2017|13731
6/15/2017|13696
5/25/2017|13556
5/18/2017|13514
5/11/2017|13482
4/27/2017|13347
4/20/2017|13328
4/13/2017|13291
3/30/2017|13189
3/23/2017|13134
3/16/2017|13075
2/23/2017|12938
2/16/2017|12890
2/10/2017|12859
1/26/2017|12746
1/19/2017|12706
1/12/2017|12667
12/29/2016|12585
12/22/2016|12552
12/15/2016|12518
12/8/2016|12463
12/1/2016|12404
11/24/2016|12375
11/17/2016|12320
11/10/2016|12270
11/3/2016|12217
10/27/2016|12155
10/20/2016|12103
10/13/2016|12070
10/6/2016|12030
9/29/2016|11968
9/22/2016|11906
9/15/2016|11873
8/25/2016|11742
8/18/2016|11691
8/11/2016|11654
7/28/2016|11602
7/21/2016|11547
7/14/2016|11527
6/30/2016|11450
6/23/2016|11419
6/16/2016|11386
5/26/2016|11267
5/19/2016|11241
5/12/2016|11199
4/28/2016|11121
4/21/2016|11065
4/14/2016|11042
3/31/2016|10946
3/24/2016|10916
3/17/2016|10877
3/10/2016|10840
2/25/2016|10726
2/18/2016|10700
2/11/2016|10658
1/28/2016|10565
1/21/2016|10515
1/14/2016|10484
12/31/2015|10410
12/23/2015|10378
12/17/2015|10339
12/10/2015|10316
12/3/2015|10258
11/26/2015|10213
11/19/2015|10181
11/12/2015|10136
11/5/2015|10069
10/29/2015|10025
10/22/2015|9964
10/15/2015|9929
10/8/2015|9884
10/1/2015|9832
9/23/2015|9775
9/17/2015|9737
9/10/2015|9687
8/27/2015|9589
8/20/2015|9558
8/13/2015|9526
7/30/2015|9464
7/23/2015|9416
7/16/2015|9372
6/25/2015|9266
6/18/2015|9232
6/11/2015|9193
5/28/2015|9109
5/21/2015|9049
5/14/2015|9038
4/30/2015|8923
4/23/2015|8884
4/16/2015|8843
3/26/2015|8654
3/19/2015|8619
3/12/2015|8576
2/26/2015|8480
2/18/2015|8440
2/12/2015|8414
1/29/2015|8324
1/22/2015|8284
1/15/2015|8213
12/24/2014|8092
12/18/2014|8070
12/11/2014|8023
12/4/2014|7989
11/27/2014|7947
11/20/2014|7918
11/13/2014|7883
11/6/2014|7845
10/30/2014|7796
10/23/2014|7748
10/16/2014|7689
10/9/2014|7647
10/2/2014|7606
9/25/2014|7567
9/18/2014|7530
9/11/2014|7498
8/28/2014|7417
8/21/2014|7393
8/14/2014|7366
7/31/2014|7314
7/24/2014|7271
7/17/2014|7243
7/10/2014|7212
6/26/2014|7113
6/19/2014|7079
6/12/2014|7046
5/29/2014|6964
5/22/2014|6935
5/15/2014|6911
4/24/2014|6767
4/17/2014|6757
4/10/2014|6725
3/27/2014|6631
3/20/2014|6599
3/13/2014|6569
2/27/2014|6494
2/20/2014|6458
2/13/2014|6430
1/30/2014|6349
1/23/2014|6317
1/16/2014|6267
12/26/2013|6194
12/19/2013|6160
12/12/2013|6111
12/5/2013|6087
11/28/2013|6047
11/21/2013|6005
11/14/2013|5950
11/7/2013|5884
10/31/2013|5838
10/24/2013|5795
10/17/2013|5752
10/10/2013|5715
10/3/2013|5670
9/26/2013|5615
9/19/2013|5572
9/12/2013|5526
8/29/2013|5456
8/22/2013|5418
8/15/2013|5391
7/25/2013|5277
7/18/2013|5218
7/11/2013|5205
6/27/2013|5120
6/20/2013|5084
6/13/2013|5060
5/30/2013|4963
5/23/2013|4932
5/16/2013|4891
4/25/2013|4794
4/18/2013|4761
4/11/2013|4731
3/28/2013|4651
3/21/2013|4623
3/14/2013|4590
2/28/2013|4526
2/21/2013|4498
2/14/2013|4454
1/31/2013|4395
1/25/2013|4376
1/17/2013|4337
1/10/2013|4312
12/27/2012|4258
12/20/2012|4229
12/13/2012|4196
12/6/2012|4173
11/29/2012|4133
11/22/2012|4092
11/16/2012|4070
11/8/2012|4044
11/1/2012|4016
10/25/2012|3986
10/18/2012|3946
10/11/2012|3914
10/4/2012|3879
9/27/2012|3849
9/20/2012|3819
9/13/2012|3784
8/30/2012|3698
8/23/2012|3660
8/16/2012|3648
7/26/2012|3584
7/19/2012|3566
7/12/2012|3540
6/28/2012|3492
6/21/2012|3460
6/14/2012|3433
5/31/2012|3391
5/24/2012|3374
5/17/2012|3363
5/10/2012|3338
4/26/2012|3294
4/19/2012|3262
4/12/2012|3232
3/29/2012|3173
3/22/2012|3149
3/15/2012|3133
2/23/2012|3043
2/16/2012|3032
1/26/2012|2980
1/19/2012|2961
1/12/2012|2936
12/29/2011|2850
12/22/2011|2833
12/15/2011|2808
12/8/2011|2787
12/1/2011|2760
11/24/2011|2739
11/17/2011|2731
11/10/2011|2706
11/3/2011|2694
10/27/2011|2681
10/20/2011|2645
10/13/2011|2620
10/6/2011|2596
9/29/2011|2581
9/22/2011|2559
9/15/2011|2541
8/25/2011|2487
8/18/2011|2476
8/11/2011|2452
7/28/2011|2426
7/21/2011|2402
7/14/2011|2381
6/30/2011|2340
6/23/2011|2317
6/16/2011|2296
5/26/2011|2208
5/19/2011|2194
5/12/2011|2167
4/28/2011|2111
4/21/2011|2094
4/14/2011|2065
3/31/2011|2013
3/24/2011|2001
3/17/2011|1987
3/10/2011|1974
2/24/2011|1948
2/17/2011|1919
2/10/2011|1895
1/27/2011|1889
1/20/2011|1870
1/13/2011|1859
12/30/2010|1841
12/23/2010|1830
12/16/2010|1825
12/9/2010|1819
12/2/2010|1806
11/25/2010|1794
11/18/2010|1782
11/11/2010|1771
11/4/2010|1756
10/28/2010|1746
10/21/2010|1738
10/14/2010|1726
10/7/2010|1717
9/30/2010|1710
9/23/2010|1697
9/16/2010|1684
8/26/2010|1637
8/19/2010|1626
8/12/2010|1618
7/29/2010|1594
7/22/2010|1577
7/15/2010|1565
6/24/2010|1527
6/17/2010|1521
6/10/2010|1507
5/27/2010|1486
5/20/2010|1476
5/13/2010|1463
4/29/2010|1435
4/22/2010|1420
4/15/2010|1400
3/25/2010|1361
3/18/2010|1354
3/11/2010|1322
3/11/2010|1312
3/11/2010|1300
3/11/2010|1294
2/11/2010|1282
1/28/2010|1264
1/21/2010|1254
1/14/2010|1247
12/31/2009|1239
12/24/2009|1230
12/17/2009|1217
12/10/2009|1210
12/3/2009|1205
11/26/2009|1193
11/19/2009|1182
11/12/2009|1175
11/5/2009|1168
10/29/2009|1160
10/22/2009|1153
10/15/2009|1138
10/8/2009|1132
1/21/2010|1078
